"Lead Source","Stage","Fiscal Period","Amount","Age","Close Date","Channel Partner"
"Channel Inbound","Closed Lost","Q1-2020","26660.00","205.0000000000","3/12/2020","Sentinel Technologies, Inc."
"Channel Inbound","Closed Lost","Q2-2021","12323.60","102.0000000000","5/17/2021","Sentinel Technologies, Inc."
"","Closed Lost","Q1-2019","16592.00","108.0000000000","3/14/2019","Sentinel Technologies, Inc."
"Channel Inbound","Closed Lost","Q1-2021","38608.63","144.0000000000","1/15/2021","SHI International Corporation"
"","Closed Lost","Q3-2019","10182.00","131.0000000000","7/30/2019","SHI International Corporation"
"Channel Inbound","Closed Lost","Q4-2021","9600.00","769.0000000000","10/7/2021","SHI International Corporation"
"Channel Inbound","Closed Lost","Q2-2021","5582.00","305.0000000000","6/25/2021","SHI International Corporation"
"Customer Support","Closed Lost","Q3-2022","576.00","343.0000000000","9/2/2022","SHI International Corporation"
"Channel Inbound","Closed Lost","Q4-2019","126309.45","49.0000000000","12/2/2019","SHI International Corporation"
"Customer Support","Closed Lost","Q1-2022","4402.92","26.0000000000","3/30/2022","SHI International Corporation"
"Channel Inbound","Closed Lost","Q1-2020","8732.00","141.0000000000","2/26/2020","Single Path, LLC"
"Channel Inbound","Closed Lost","Q2-2020","17643.80","226.0000000000","5/21/2020","Single Path, LLC"
"Events/Shows","Closed Won","Q4-2019","64189.15","106.0000000000","10/3/2019","Sirius Computer Solutions, Inc. - a CDW Company"
"Channel Inbound","Closed Won","Q1-2020","4468.00","14.0000000000","3/27/2020","Sirius Computer Solutions, Inc. - a CDW Company"
"","Closed Lost","Q3-2019","6156.00","322.0000000000","8/14/2019","Sirius Computer Solutions, Inc. - a CDW Company"
"Channel Inbound","Closed Won","Q3-2020","2238.00","31.0000000000","8/31/2020","Sirius Computer Solutions, Inc. - a CDW Company"
"Website","Closed Lost","Q2-2020","55800.00","211.0000000000","6/3/2020","Sirius Computer Solutions, Inc. - a CDW Company"
"Channel Inbound","Closed Lost","Q2-2020","17600.00","261.0000000000","6/4/2020","Sirius Computer Solutions, Inc. - a CDW Company"
"Channel Inbound","Closed Won","Q4-2019","7764.50","445.0000000000","10/11/2019","Sirius Computer Solutions, Inc. - a CDW Company"
"","Closed Lost","Q2-2019","69315.00","260.0000000000","5/2/2019","Sirius Computer Solutions, Inc. - a CDW Company"
"Website","Closed Won","Q2-2019","7101.00","308.0000000000","6/25/2019","Sirius Computer Solutions, Inc. - a CDW Company"
"Customer Support","Closed Won","Q2-2022","2740.00","23.0000000000","6/10/2022","Calian"
"Customer Support","Closed Lost","Q1-2023","5760.00","51.0000000000","1/25/2023","Insight Direct USA, Inc."
"Customer Support","Closed Lost","Q2-2023","5760.00","32.0000000000","4/14/2023","Insight Direct USA, Inc."
"Channel Inbound","Closed Lost","Q2-2022","46080.00","325.0000000000","4/15/2022","Insight Direct USA, Inc."
"","Closed Lost","Q1-2019","92812.00","184.0000000000","3/15/2019","Insight Direct USA, Inc."
"","Closed Lost","Q3-2019","18384.00","124.0000000000","7/16/2019","Insight Direct USA, Inc."
"Channel Inbound","Closed Lost","Q3-2022","74575.00","797.0000000000","9/15/2022","Insight Direct USA, Inc."
"Customer Support","Closed Lost","Q3-2022","3817.68","4.0000000000","8/23/2022","Insight Direct USA, Inc."
"","Closed Lost","Q1-2019","4859.20","127.0000000000","3/15/2019","Insight Direct USA, Inc."
"Channel Inbound","Closed Won","Q4-2020","3563.51","371.0000000000","11/11/2020","Logicalis, Inc."
"Channel Inbound","Closed Lost","Q2-2022","15234.00","908.0000000000","5/18/2022","Logicalis, Inc."
"Website","Closed Won","Q1-2021","61209.00","407.0000000000","3/2/2021","Logicalis, Inc."
"Channel Inbound","Closed Lost","Q3-2021","26730.00","462.0000000000","8/11/2021","Logicalis, Inc."
"","Closed Lost","Q4-2018","51550.00","35.0000000000","11/29/2018","Logicalis, Inc."
"Direct Sales","Closed Lost","Q2-2020","3173.00","589.0000000000","6/10/2020","Logicalis, Inc."
"","Closed Lost","Q3-2019","10081.80","95.0000000000","7/16/2019","Logicalis, Inc."
"Channel Inbound","Closed Lost","Q1-2020","53300.00","447.0000000000","3/10/2020","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Won","Q3-2022","5180.80","16.0000000000","9/7/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2019","6413.00","232.0000000000","9/4/2019","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2021","10301.19","689.0000000000","2/15/2021","Presidio Networked Solutions Group, LLC"
"Direct Sales","Closed Lost","Q2-2023","15122.52","485.0000000000","5/18/2023","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2023","4404.36","870.0000000000","1/12/2023","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q2-2020","30900.00","155.0000000000","6/17/2020","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Won","Q2-2022","171.00","60.0000000000","5/10/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2023","19950.00","896.0000000000","2/22/2023","Presidio Networked Solutions Group, LLC"
"Website","Closed Lost","Q4-2020","31786.35","114.0000000000","12/17/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Won","Q4-2022","29774.30","215.0000000000","12/6/2022","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Won","Q3-2022","2922.13","232.0000000000","8/31/2022","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Lost","Q2-2023","2275.00","83.0000000000","5/18/2023","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2023","13338.00","322.0000000000","2/9/2023","Presidio Networked Solutions Group, LLC"
"","Closed Lost","Q3-2019","27257.19","113.0000000000","8/15/2019","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2020","8722.75","278.0000000000","1/27/2020","Presidio Networked Solutions Group, LLC"
"Events/Shows","Closed Lost","Q1-2021","37839.00","498.0000000000","2/3/2021","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Won","Q2-2022","39960.00","183.0000000000","5/6/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2023","31984.00","242.0000000000","3/6/2023","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2022","15990.00","133.0000000000","7/7/2022","Presidio Networked Solutions Group, LLC"
"Website","Closed Lost","Q4-2022","69014.00","181.0000000000","10/27/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q2-2023","9561.60","817.0000000000","4/18/2023","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Won","Q2-2021","7571.40","76.0000000000","6/9/2021","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Lost","Q3-2022","6100.95","140.0000000000","7/5/2022","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Lost","Q3-2022","1689.20","191.0000000000","9/2/2022","Presidio Networked Solutions Group, LLC"
"Website","Closed Lost","Q3-2022","41617.20","73.0000000000","9/26/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q2-2020","5895.00","178.0000000000","6/11/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q4-2019","8502.00","55.0000000000","12/5/2019","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2022","15592.20","177.0000000000","8/31/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2020","10260.00","293.0000000000","7/20/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Won","Q4-2019","8361.00","136.0000000000","11/4/2019","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q4-2021","13680.00","743.0000000000","11/16/2021","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2021","30396.00","707.0000000000","7/30/2021","Presidio Networked Solutions Group, LLC"
"Events/Shows","Closed Won","Q4-2018","32334.75","75.0000000000","11/21/2018","Presidio Networked Solutions Group, LLC"
"","Closed Won","Q2-2019","6180.00","29.0000000000","5/8/2019","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2020","4954.00","358.0000000000","1/14/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q2-2023","70877.76","579.0000000000","4/11/2023","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2020","23494.00","345.0000000000","1/23/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2022","41151.00","771.0000000000","9/9/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2020","26080.00","364.0000000000","1/24/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Won","Q4-2020","38400.00","54.0000000000","12/14/2020","Presidio Networked Solutions Group, LLC"
"","Closed Lost","Q2-2019","7584.50","202.0000000000","4/9/2019","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2020","57120.00","674.0000000000","7/29/2020","Presidio Networked Solutions Group, LLC"
"","Closed Won","Q1-2019","16444.75","43.0000000000","3/29/2019","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Won","Q3-2020","16971.42","109.0000000000","7/10/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2020","10196.10","21.0000000000","7/30/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q2-2020","12472.00","454.0000000000","6/10/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q4-2022","4080.00","149.0000000000","10/7/2022","Presidio Networked Solutions Group, LLC"
"Website","Closed Lost","Q1-2022","90000.00","1022.0000000000","3/2/2022","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Lost","Q1-2023","4282.82","262.0000000000","2/9/2023","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q2-2020","14423.15","131.0000000000","6/17/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q2-2020","34603.42","258.0000000000","5/6/2020","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Won","Q2-2022","1040.40","58.0000000000","6/1/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Won","Q4-2021","17989.44","95.0000000000","12/7/2021","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Won","Q3-2022","2134.44","133.0000000000","7/6/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Won","Q2-2022","48615.00","258.0000000000","6/6/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2020","16872.00","228.0000000000","3/13/2020","Presidio Networked Solutions Group, LLC"
"Website","Closed Won","Q3-2021","23158.08","527.0000000000","7/28/2021","Presidio Networked Solutions Group, LLC"
"Website","Closed Lost","Q3-2020","49995.00","283.0000000000","7/9/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2022","15768.00","247.0000000000","8/31/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2020","7068.00","170.0000000000","7/2/2020","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Lost","Q2-2022","3522.00","78.0000000000","5/20/2022","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Won","Q3-2022","2996.00","128.0000000000","8/12/2022","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Lost","Q2-2022","875.10","76.0000000000","5/10/2022","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Lost","Q1-2022","6861.94","14.0000000000","3/30/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q2-2020","29256.00","357.0000000000","4/9/2020","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Won","Q4-2022","6376.86","62.0000000000","12/5/2022","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q4-2019","2961.00","148.0000000000","11/27/2019","Presidio Networked Solutions Group, LLC"
"Website","Closed Lost","Q2-2020","7020.00","297.0000000000","5/15/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2020","6552.00","176.0000000000","7/15/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Won","Q2-2020","6478.00","29.0000000000","5/1/2020","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2019","6430.00","243.0000000000","9/4/2019","Presidio Networked Solutions Group, LLC"
"Events/Shows","Closed Lost","Q1-2020","30750.00","458.0000000000","1/24/2020","Presidio Networked Solutions Group, LLC"
"","Closed Lost","Q3-2019","5040.00","281.0000000000","8/1/2019","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2020","467100.00","453.0000000000","1/29/2020","Presidio Networked Solutions Group, LLC"
"","Closed Won","Q2-2019","16900.00","127.0000000000","6/28/2019","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2020","17670.75","408.0000000000","7/2/2020","Presidio Networked Solutions Group, LLC"
"","Closed Won","Q1-2019","35482.50","27.0000000000","2/28/2019","Presidio Networked Solutions Group, LLC"
"","Closed Won","Q4-2018","6525.60","96.0000000000","10/22/2018","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Won","Q3-2020","7020.00","744.0000000000","7/31/2020","Presidio Networked Solutions Group, LLC"
"","Closed Won","Q3-2018","4794.00","32.0000000000","8/28/2018","Presidio Networked Solutions Group, LLC"
"Events/Shows","Closed Won","Q3-2018","21060.00","34.0000000000","8/21/2018","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2019","10244.00","99.0000000000","9/4/2019","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2021","33243.00","106.0000000000","2/18/2021","Presidio Networked Solutions Group, LLC"
"Customer Support","Closed Lost","Q2-2023","8390.40","148.0000000000","4/12/2023","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q1-2021","6597.90","151.0000000000","2/1/2021","Presidio Networked Solutions Group, LLC"
"Channel Inbound","Closed Lost","Q3-2019","3283.00","209.0000000000","9/23/2019","Presidio Networked Solutions Group, LLC"
"Website","Closed Lost","Q1-2019","13266.00","180.0000000000","2/19/2019","Presidio Networked Solutions Group, LLC"
"","Closed Lost","Q1-2019","17132.00","239.0000000000","3/14/2019","Prosys Information Systems, Inc. -  a Pivot Company"
"Website","Closed Won","Q3-2019","62020.00","367.0000000000","8/30/2019","ACT Data Solutions"
"Customer Support","Closed Lost","Q4-2022","10080.00","66.0000000000","12/30/2022",""
"Customer Support","Closed Lost","Q1-2023","1240.00","27.0000000000","3/15/2023",""
"Marketing Campaign","Closed Won","Q4-2020","6370.00","224.0000000000","12/17/2020",""
"Channel Inbound","Closed Lost","Q2-2021","15124.14","92.0000000000","5/12/2021",""
"Customer Support","Closed Lost","Q1-2023","3053.75","21.0000000000","2/15/2023",""
"Customer Support","Closed Won","Q3-2022","2129.28","28.0000000000","9/19/2022",""
"Website","Closed Lost","Q2-2019","4230.00","30.0000000000","5/15/2019",""
"Website","Closed Lost","Q3-2020","252000.00","21.0000000000","9/4/2020",""
"Events/Shows","Closed Lost","Q2-2020","10945.00","160.0000000000","4/13/2020",""
"Direct Sales","Closed Lost","Q3-2020","370500.00","178.0000000000","9/4/2020",""
"Direct Sales","Closed Lost","Q3-2022","2796.00","55.0000000000","9/13/2022",""
"Customer Support","Closed Lost","Q4-2022","5760.00","172.0000000000","11/22/2022",""
"Customer Support","Closed Lost","Q2-2023","6836.76","312.0000000000","4/11/2023",""
"Direct Sales","Closed Won","Q3-2022","1500.00","23.0000000000","9/16/2022",""
"Events/Shows","Closed Won","Q3-2018","8116.50","6.0000000000","7/31/2018",""
"Events/Shows","Closed Won","Q3-2019","76074.20","98.0000000000","9/27/2019",""
"Channel Inbound","Closed Lost","Q3-2021","51156.00","349.0000000000","8/5/2021",""
"Website","Closed Lost","Q2-2020","22800.00","233.0000000000","6/10/2020",""
"Website","Closed Lost","Q1-2020","20108.50","84.0000000000","1/20/2020",""
"Website","Closed Lost","Q2-2020","24104.00","170.0000000000","5/7/2020",""
"Customer Support","Closed Lost","Q2-2023","12300.00","97.0000000000","5/15/2023",""
"Customer Support","Closed Won","Q2-2023","1500.00","73.0000000000","4/10/2023",""
"Website","Closed Lost","Q1-2020","10330.20","418.0000000000","2/5/2020",""
"Customer Support","Closed Lost","Q4-2022","5739.40","236.0000000000","10/4/2022",""
"Direct Sales","Closed Lost","Q3-2022","3777.55","297.0000000000","9/2/2022",""
"Direct Sales","Closed Lost","Q2-2023","1116.38","63.0000000000","4/11/2023",""
"Customer Support","Closed Lost","Q2-2023","259.69","43.0000000000","4/14/2023",""
"Customer Support","Closed Won","Q2-2023","1077.12","66.0000000000","5/8/2023",""
"Website","Closed Lost","Q3-2020","4230.00","148.0000000000","7/1/2020",""
"Customer Support","Closed Lost","Q4-2022","17528.77","191.0000000000","10/6/2022",""
"Customer Support","Closed Won","Q4-2022","53442.00","297.0000000000","12/30/2022",""
"Customer Support","Closed Won","Q2-2022","4093.18","7.0000000000","4/5/2022",""
"Website","Closed Lost","Q2-2020","3243.00","226.0000000000","6/10/2020",""
"Direct Sales","Closed Won","Q2-2023","14400.00","669.0000000000","4/18/2023",""
"Website","Closed Lost","Q3-2020","16317.00","59.0000000000","7/24/2020",""
"Channel Inbound","Closed Lost","Q2-2021","7723.30","298.0000000000","6/25/2021",""
"Website","Closed Won","Q3-2018","3694.00","18.0000000000","9/28/2018",""
"Customer Support","Closed Lost","Q2-2023","9295.84","21.0000000000","5/17/2023",""
"Website","Closed Lost","Q1-2022","27600.00","112.0000000000","2/16/2022",""
"Customer Support","Closed Won","Q4-2022","1600.04","199.0000000000","11/4/2022",""
"Customer Support","Closed Won","Q3-2022","5985.00","36.0000000000","9/30/2022",""
"Channel Inbound","Closed Lost","Q4-2020","2975.00","152.0000000000","12/23/2020",""
"Website","Closed Lost","Q1-2021","4500.00","167.0000000000","3/18/2021",""
"Customer Support","Closed Lost","Q4-2022","25462.74","212.0000000000","11/18/2022",""
"Website","Closed Won","Q3-2022","15865.20","24.0000000000","9/21/2022",""
"Website","Closed Lost","Q2-2022","14916.00","62.0000000000","5/25/2022",""
"Direct Sales","Closed Won","Q3-2020","5400.00","22.0000000000","7/29/2020",""
"Channel Inbound","Closed Won","Q4-2020","9240.00","22.0000000000","11/11/2020",""
"Customer Support","Closed Lost","Q4-2022","10555.02","90.0000000000","11/29/2022",""
"","Closed Won","Q4-2018","3100.00","18.0000000000","10/5/2018",""
"Website","Closed Lost","Q2-2020","4230.00","110.0000000000","6/10/2020",""
"Customer Support","Closed Lost","Q3-2022","19440.00","48.0000000000","9/1/2022",""
"Website","Closed Lost","Q2-2020","4230.00","107.0000000000","6/10/2020",""
"Direct Sales","Closed Lost","Q4-2020","7178.25","34.0000000000","10/1/2020",""
"Customer Support","Closed Lost","Q1-2023","7880.00","69.0000000000","3/14/2023",""
"Channel Inbound","Closed Lost","Q4-2021","14400.00","248.0000000000","11/11/2021",""
"Website","Closed Lost","Q4-2022","6780.00","139.0000000000","11/22/2022",""
"Customer Support","Closed Lost","Q4-2022","2600.00","174.0000000000","10/20/2022",""
"Direct Sales","Closed Lost","Q3-2019","38310.00","6.0000000000","9/26/2019",""
"Website","Closed Lost","Q4-2021","8294.00","183.0000000000","10/19/2021",""
"Customer Support","Closed Lost","Q2-2023","527.16","20.0000000000","4/18/2023",""
"Customer Support","Closed Lost","Q2-2023","4940.00","71.0000000000","5/4/2023",""
"Customer Support","Closed Won","Q2-2023","825.00","6.0000000000","4/19/2023",""
"Customer Support","Closed Won","Q2-2023","3084.00","7.0000000000","4/27/2023",""
"Customer Support","Closed Won","Q2-2022","1318.38","7.0000000000","5/18/2022",""
"Customer Support","Closed Lost","Q3-2022","19041.36","163.0000000000","9/9/2022",""
"Website","Closed Lost","Q3-2022","15120.00","366.0000000000","7/13/2022",""
"Channel Inbound","Closed Lost","Q2-2021","8400.00","161.0000000000","4/14/2021",""
"Customer Support","Closed Lost","Q1-2022","4800.00","161.0000000000","3/8/2022",""
"Customer Support","Closed Won","Q1-2023","3781.26","122.0000000000","1/6/2023",""
"Customer Support","Closed Won","Q3-2022","10950.00","360.0000000000","9/30/2022",""
"Customer Support","Closed Won","Q3-2022","1512.00","102.0000000000","8/5/2022",""
"Customer Support","Closed Won","Q4-2022","1960.00","80.0000000000","12/12/2022",""
"Direct Sales","Closed Won","Q3-2022","2839.46","259.0000000000","9/13/2022",""
"Direct Sales","Closed Lost","Q1-2023","2500.00","373.0000000000","3/1/2023",""
"Marketing Campaign","Closed Lost","Q4-2021","2742.80","470.0000000000","10/29/2021",""
"Website","Closed Lost","Q2-2021","21444.40","552.0000000000","6/15/2021",""
"Website","Closed Lost","Q3-2019","4230.00","43.0000000000","8/9/2019",""
"Customer Support","Closed Lost","Q4-2022","3339.00","133.0000000000","10/24/2022",""
"Customer Support","Closed Won","Q3-2022","3820.00","16.0000000000","7/27/2022",""
"Website","Closed Lost","Q1-2020","36696.00","16.0000000000","1/22/2020",""
"Customer Support","Closed Lost","Q2-2022","2126.46","76.0000000000","5/11/2022",""
"Customer Support","Closed Lost","Q4-2022","3600.00","70.0000000000","12/1/2022",""
"Customer Support","Closed Lost","Q3-2022","5968.00","73.0000000000","9/2/2022",""
"Customer Support","Closed Lost","Q3-2022","23400.00","98.0000000000","8/23/2022",""
"Customer Support","Closed Won","Q3-2022","1625.00","9.0000000000","8/5/2022",""
"Customer Support","Closed Won","Q3-2022","2200.00","3.0000000000","8/18/2022",""
"Channel Inbound","Closed Lost","Q3-2021","11322.94","320.0000000000","8/11/2021",""
"Website","Closed Lost","Q1-2022","29400.00","253.0000000000","2/17/2022",""
"Events/Shows","Closed Lost","Q2-2020","21194.60","189.0000000000","5/28/2020",""
"Customer Support","Closed Won","Q2-2022","750.00","1.0000000000","4/1/2022",""
"Customer Support","Closed Won","Q4-2022","11214.00","881.0000000000","10/26/2022",""
"Customer Support","Closed Lost","Q4-2022","3600.00","98.0000000000","11/9/2022",""
"Customer Support","Closed Won","Q3-2022","1500.00","49.0000000000","9/22/2022",""
"Customer Support","Closed Won","Q3-2022","189.00","28.0000000000","7/26/2022",""
"Customer Support","Closed Lost","Q4-2022","3019.68","141.0000000000","11/17/2022",""
"Channel Inbound","Closed Lost","Q1-2022","23360.00","613.0000000000","3/18/2022",""
"Website","Closed Lost","Q3-2019","17810.00","92.0000000000","8/1/2019",""
"Marketing Campaign","Closed Lost","Q4-2020","9245.20","243.0000000000","12/21/2020",""
"Marketing Campaign","Closed Lost","Q2-2020","70901.40","41.0000000000","6/2/2020",""
"Events/Shows","Closed Lost","Q2-2020","36480.00","344.0000000000","4/15/2020",""
"Customer Support","Closed Lost","Q1-2023","1262.69","152.0000000000","3/6/2023",""
"Customer Support","Closed Lost","Q4-2022","7200.00","76.0000000000","10/20/2022",""
"Customer Support","Closed Won","Q3-2022","1800.18","52.0000000000","7/11/2022",""
"Customer Support","Closed Lost","Q2-2022","4580.42","9.0000000000","5/27/2022",""
"Customer Support","Closed Lost","Q2-2023","6177.49","360.0000000000","5/15/2023",""
"Website","Closed Won","Q3-2019","39930.00","77.0000000000","9/17/2019",""
"Website","Closed Lost","Q1-2020","15870.00","233.0000000000","1/23/2020",""
"Website","Closed Lost","Q3-2022","48200.00","161.0000000000","8/30/2022",""
"Direct Sales","Closed Lost","Q4-2022","937.02","179.0000000000","11/15/2022",""
"Customer Support","Closed Lost","Q2-2019","1642.00","73.0000000000","6/28/2019",""
"Website","Closed Won","Q1-2019","19900.00","170.0000000000","2/21/2019",""
"Channel Inbound","Closed Lost","Q2-2021","14952.00","13.0000000000","4/14/2021",""
"Customer Support","Closed Lost","Q1-2023","2500.00","330.0000000000","1/17/2023",""
"Customer Support","Closed Lost","Q2-2023","191.18","158.0000000000","4/24/2023",""
"Customer Support","Closed Won","Q4-2022","6915.60","29.0000000000","11/30/2022",""
"Direct Sales","Closed Lost","Q1-2023","8760.00","856.0000000000","1/12/2023",""
"Customer Support","Closed Lost","Q2-2022","33000.00","745.0000000000","5/12/2022",""
"Marketing Campaign","Closed Lost","Q2-2020","9155.15","36.0000000000","6/2/2020",""
"Customer Support","Closed Lost","Q4-2022","8455.32","201.0000000000","12/20/2022",""
"Website","Closed Lost","Q1-2019","20988.00","203.0000000000","3/7/2019",""
"Website","Closed Won","Q4-2018","7372.00","101.0000000000","11/30/2018",""
"Traditional/Offline Networking","Closed Won","Q1-2022","42000.00","1311.0000000000","3/25/2022",""
